pipeline,domain,sector,url_requested,captured_at,status,score,risk_level,findings_count,confirmed_count,suspected_count,finding_categories,banner_detected,banner_selector,has_accept_all,has_reject_all,has_manage_options,accept_reject_ratio,banner_buttons_count,dismiss_method,pref_panel_opened,pref_total_checkboxes,pref_pre_checked,total_buttons_on_page,pre_selected_on_page,forms_count,visible_text_chars,ground_truth,ground_truth_patterns,evidence_folder
claude,www.fnac.pt,Electronics retail,https://www.fnac.pt,2026-06-06T15:52:40,completed,0.0,None detected,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.fnac.pt_20260606_155240
claude,www.lidl.pt,Supermarket,https://www.lidl.pt,2026-06-08T00:40:51,completed,4.5,Medium,2,0,2,"manipulative_consent,obstruction",True,#onetrust-banner-sdk,False,False,True,,3,escape_key,True,10,0,263,0,2,3674,suspected,obstruction,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.lidl.pt_20260608_004051
claude,www.meo.pt,Telecom,https://www.meo.pt,2026-06-08T00:39:00,completed,0.0,None detected,0,0,0,,False,,False,False,False,,0,,False,0,0,4,0,1,376,inconclusive,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.meo.pt_20260608_003900
claude,www.millenniumbcp.pt,Banking,https://www.millenniumbcp.pt,2026-06-08T00:39:57,completed,4.5,Medium,2,0,2,"interface_interference,manipulative_consent",True,#onetrust-banner-sdk,False,True,True,,3,escape_key,True,9,0,646,0,0,5058,suspected,interface_interference,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.millenniumbcp.pt_20260608_003957
claude,www.nos.pt,Telecom,https://www.nos.pt,2026-06-08T00:39:33,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.nos.pt_20260608_003933
claude,www.pingodoce.pt,Supermarket,https://www.pingodoce.pt,2026-06-08T00:40:43,completed,2.5,Low,1,0,1,manipulative_consent,True,#onetrust-banner-sdk,False,True,False,,3,reject_all,False,0,0,917,0,2,8188,none,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.pingodoce.pt_20260608_004043
claude,www.publico.pt,News,https://www.publico.pt,2026-06-08T00:39:37,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.publico.pt_20260608_003937
claude,www.radiopopular.pt,Electronics retail,https://www.radiopopular.pt,2026-06-08T00:39:23,completed,5.0,Medium,2,0,2,manipulative_consent,True,[aria-label*='privacidade' i],False,False,False,,0,escape_key,False,0,0,2411,0,1,11867,inconclusive,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.radiopopular.pt_20260608_003923
claude,www.rtp.pt,Media / Streaming,https://www.rtp.pt,2026-06-08T00:40:30,completed,2.5,Low,1,0,1,manipulative_consent,True,#didomi-popup,False,False,False,,3,close_button,False,0,0,221,0,1,3724,suspected,"manipulative_consent,obstruction",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.rtp.pt_20260608_004030
claude,www.sapo.pt,Media / Portal,https://www.sapo.pt,2026-06-08T00:40:37,completed,4.5,Medium,2,0,2,"manipulative_consent,obstruction",False,,False,False,False,,0,,False,0,0,797,0,1,13416,inconclusive,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.sapo.pt_20260608_004037
claude,www.vodafone.pt,Telecom,https://www.vodafone.pt,2026-06-08T00:41:01,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.vodafone.pt_20260608_004101
claude,www.worten.pt,Electronics retail,https://www.worten.pt,2026-06-06T15:47:18,completed,4.5,Medium,2,2,0,"interface_interference,manipulative_consent",True,[role='dialog'][aria-modal='true'],True,False,False,,3,escape_key,False,0,0,4239,0,1,4763,confirmed,"interface_interference,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence/www.worten.pt_20260606_154718
gemini,www.auchan.pt,Supermarket,https://www.auchan.pt,2026-06-07T23:20:07,completed,5.0,Medium,2,0,2,manipulative_consent,True,#onetrust-banner-sdk,False,False,False,,2,escape_key,False,0,0,925,0,2,12420,confirmed,"interface_interference,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.auchan.pt_20260607_232007
gemini,www.booking.com,Travel,https://www.booking.com,2026-06-07T23:20:24,completed,6.5,Medium,3,0,3,"manipulative_consent,obstruction",True,#onetrust-banner-sdk,False,False,True,,3,escape_key,True,7,0,352,0,1,11376,none,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.booking.com_20260607_232024
gemini,www.continente.pt,Supermarket,https://www.continente.pt,2026-06-07T23:19:35,completed,6.0,Medium,3,0,3,"manipulative_consent,obstruction,preselection",True,#CybotCookiebotDialog,False,False,True,,61,reject_all,True,10,0,2001,2,2,13335,confirmed,"obstruction,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.continente.pt_20260607_231935
gemini,www.expresso.pt,News,https://www.expresso.pt,2026-06-07T23:20:03,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.expresso.pt_20260607_232003
gemini,www.flytap.com,Airline,https://www.flytap.com,2026-06-07T23:20:16,completed,10.0,High,5,0,5,"manipulative_consent,obstruction,preselection,urgency_scarcity",True,#onetrust-banner-sdk,False,False,False,,2,escape_key,False,0,0,164,1,1,4233,confirmed,"preselection,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.flytap.com_20260607_232016
gemini,www.meo.pt,Telecom,https://www.meo.pt,2026-06-07T23:19:22,completed,0.0,None detected,0,0,0,,False,,False,False,False,,0,,False,0,0,11,0,1,111,inconclusive,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.meo.pt_20260607_231922
gemini,www.nos.pt,Telecom,https://www.nos.pt,2026-06-07T23:19:16,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.nos.pt_20260607_231916
gemini,www.publico.pt,News,https://www.publico.pt,2026-06-07T23:19:58,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,blocked,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.publico.pt_20260607_231958
gemini,www.radiopopular.pt,Electronics retail,https://www.radiopopular.pt,2026-06-07T23:19:48,completed,5.0,Medium,2,0,2,manipulative_consent,True,[aria-label*='privacidade' i],False,False,False,,0,escape_key,False,0,0,2411,0,1,11867,inconclusive,,/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.radiopopular.pt_20260607_231948
gemini,www.worten.pt,Electronics retail,https://www.worten.pt,2026-06-07T23:20:35,blocked,,,0,0,0,,False,,False,False,False,,0,,False,0,0,0,0,0,0,confirmed,"interface_interference,manipulative_consent",/Users/karolhenriques/Downloads/SIGPRD_blackpatterns/evidence_gemini/www.worten.pt_20260607_232035
